X,Y,time
2,0,0
1.99991,-0.019178,0.0086894
1.99967,-0.0364825,0.0185463
1.99921,-0.0560541,0.0292638
1.9985,-0.0772631,0.0406649
1.99749,-0.0997407,0.0526345
1.99615,-0.123243,0.0650916
1.99446,-0.147597,0.0779759
1.9924,-0.172667,0.091241
1.98994,-0.198351,0.10485
1.98706,-0.224563,0.118773
1.98375,-0.251233,0.132987
1.97999,-0.2783,0.147469
1.97576,-0.305714,0.162204
1.97105,-0.33343,0.177178
1.96585,-0.361409,0.192377
1.96014,-0.389617,0.207792
1.95391,-0.418024,0.223414
1.94716,-0.446602,0.239236
1.93987,-0.475326,0.25525
1.93202,-0.504174,0.271452
1.92362,-0.533125,0.287836
1.91465,-0.562163,0.3044
1.90509,-0.591268,0.321139
1.89495,-0.620427,0.338051
1.88421,-0.649624,0.355135
1.87286,-0.678846,0.372387
1.8609,-0.708082,0.389807
1.84831,-0.737319,0.407395
1.83508,-0.766548,0.425149
1.82121,-0.795757,0.44307
1.80669,-0.824939,0.461157
1.79151,-0.854084,0.479412
1.77565,-0.883185,0.497834
1.75911,-0.912233,0.516425
1.74188,-0.94122,0.535187
1.72395,-0.970142,0.55412
1.70531,-0.99899,0.573227
1.68595,-1.02776,0.59251
1.66585,-1.05644,0.611971
1.64501,-1.08503,0.631614
1.62342,-1.11353,0.651442
1.60106,-1.14192,0.671458
1.57792,-1.1702,0.691666
1.55399,-1.19837,0.712072
1.52924,-1.22643,0.732681
1.50368,-1.25436,0.753498
1.47728,-1.28216,0.774531
1.45002,-1.30983,0.795787
1.42188,-1.33737,0.817275
1.39285,-1.36476,0.839004
1.3629,-1.39201,0.860987
1.332,-1.41911,0.883237
1.30012,-1.44606,0.90577
1.26724,-1.47286,0.928603
1.2333,-1.4995,0.951758
1.19827,-1.52597,0.975262
1.1621,-1.55229,0.999146
1.12471,-1.57845,1.02345
1.08603,-1.60446,1.04822
1.04597,-1.63032,1.07351
1.0044,-1.65604,1.09942
0.961172,-1.68164,1.12604
0.916062,-1.70717,1.15353
0.868774,-1.73267,1.18213
0.818854,-1.75824,1.21222
0.76556,-1.78406,1.24173
0.712559,-1.80827,1.26967
0.66172,-1.83016,1.29617
0.612948,-1.84995,1.32138
0.566092,-1.86786,1.34541
0.521014,-1.8841,1.36836
0.477595,-1.89882,1.39033
0.435739,-1.91216,1.41137
0.395367,-1.92425,1.43156
0.356421,-1.93518,1.45092
0.318853,-1.94505,1.4695
0.282634,-1.95393,1.48731
0.247747,-1.9619,1.50439
0.21419,-1.96902,1.52072
0.181977,-1.97535,1.53631
0.151139,-1.98094,1.55114
0.121732,-1.98585,1.56517
0.0938429,-1.99012,1.57834
0.0676085,-1.99379,1.59054
0.0432473,-1.99689,1.60161
0.0211433,-1.99946,1.61111
0.00922109,-2.00074,1.61911
-0.00679378,-2.00235,1.62661
-0.0218031,-2.00374,1.63602
-0.0406696,-2.00533,1.64662
-0.0619444,-2.00691,1.65809
-0.0849583,-2.00836,1.67021
-0.109321,-2.00959,1.68288
-0.134774,-2.01056,1.69598
-0.16113,-2.01119,1.70946
-0.188247,-2.01147,1.72327
-0.216012,-2.01134,1.73735
-0.244334,-2.01078,1.75168
-0.273137,-2.00976,1.76622
-0.302357,-2.00826,1.78096
-0.331937,-2.00624,1.79587
-0.361831,-2.0037,1.81093
-0.391995,-2.00061,1.82614
-0.422393,-1.99695,1.84148
-0.452991,-1.99271,1.85694
-0.483758,-1.98787,1.87251
-0.514668,-1.98242,1.88818
-0.545696,-1.97634,1.90396
-0.576819,-1.96962,1.91983
-0.608015,-1.96224,1.93578
-0.639266,-1.9542,1.95183
-0.670554,-1.94548,1.96796
-0.701861,-1.93606,1.98418
-0.733172,-1.92595,2.00047
-0.764471,-1.91512,2.01685
-0.795746,-1.90357,2.03331
-0.826983,-1.89128,2.04986
-0.858169,-1.87824,2.06649
-0.889291,-1.86444,2.08321
-0.920339,-1.84988,2.10002
-0.951302,-1.83454,2.11691
-0.982168,-1.8184,2.13391
-1.01293,-1.80146,2.151
-1.04357,-1.78371,2.1682
-1.07409,-1.76513,2.18551
-1.10447,-1.74571,2.20293
-1.13471,-1.72544,2.22047
-1.16479,-1.7043,2.23814
-1.19471,-1.68228,2.25594
-1.22446,-1.65937,2.27389
-1.25403,-1.63554,2.29199
-1.28341,-1.61078,2.31026
-1.3126,-1.58507,2.3287
-1.34159,-1.55839,2.34733
-1.37036,-1.53072,2.36616
-1.39892,-1.50202,2.38521
-1.42725,-1.47228,2.4045
-1.45535,-1.44145,2.42405
-1.48322,-1.4095,2.44388
-1.51084,-1.37638,2.46402
-1.53822,-1.34205,2.48451
-1.56535,-1.30643,2.50538
-1.59224,-1.26946,2.52669
-1.61888,-1.23105,2.54849
-1.64528,-1.19107,2.57086
-1.67146,-1.14938,2.59391
-1.69745,-1.10579,2.61777
-1.72329,-1.06,2.64264
-1.74906,-1.01162,2.66886
-1.7749,-0.959985,2.69701
-1.80114,-0.903891,2.72453
-1.82525,-0.848467,2.75057
-1.84666,-0.795583,2.77527
-1.86569,-0.745073,2.79882
-1.88266,-0.696678,2.82135
-1.89784,-0.650178,2.84299
-1.91142,-0.605396,2.86382
-1.92358,-0.562193,2.88392
-1.93446,-0.520456,2.90335
-1.94418,-0.480097,2.92215
-1.95284,-0.441044,2.94035
-1.96053,-0.403242,2.958
-1.96732,-0.366648,2.9751
-1.97329,-0.33123,2.99168
-1.97849,-0.296967,3.00773
-1.98299,-0.263848,3.02327
-1.98685,-0.231869,3.03829
-1.9901,-0.201042,3.05278
-1.99279,-0.171386,3.06672
-1.99499,-0.142939,3.08008
-1.99671,-0.115755,3.09282
-1.99802,-0.0899185,3.10487
-1.99896,-0.0655524,3.11614
-1.99957,-0.0428511,3.12644
-1.99991,-0.0221449,3.13544
-2.00001,-0.00930216,3.14298
-2.00002,0.0057858,3.14983
-1.99993,0.0194522,3.15853
-1.99969,0.0367915,3.16841
-1.99923,0.0563946,3.17914
-1.99851,0.0776274,3.19055
-1.99749,0.100124,3.20253
-1.99615,0.123642,3.21499
-1.99446,0.148009,3.22788
-1.99239,0.173091,3.24115
-1.98992,0.198784,3.25477
-1.98704,0.225005,3.2687
-1.98372,0.251681,3.28291
-1.97995,0.278755,3.2974
-1.97571,0.306174,3.31214
-1.97099,0.333895,3.32712
-1.96578,0.361879,3.34232
-1.96007,0.390091,3.35774
-1.95383,0.418501,3.37336
-1.94707,0.447082,3.38919
-1.93977,0.475808,3.40521
-1.93192,0.504658,3.42141
-1.9235,0.533612,3.4378
-1.91452,0.562651,3.45437
-1.90496,0.591758,3.47111
-1.89481,0.620917,3.48802
-1.88405,0.650115,3.50511
-1.8727,0.679338,3.52236
-1.86072,0.708574,3.53979
-1.84812,0.737811,3.55738
-1.83489,0.76704,3.57513
-1.82101,0.796249,3.59306
-1.80647,0.825431,3.61115
-1.79128,0.854576,3.6294
-1.77541,0.883676,3.64783
-1.75886,0.912723,3.66642
-1.74162,0.94171,3.68519
-1.72367,0.97063,3.70412
-1.70502,0.999477,3.72323
-1.68565,1.02824,3.74252
-1.66554,1.05693,3.76198
-1.64469,1.08552,3.78163
-1.62308,1.11401,3.80146
-1.60071,1.1424,3.82148
-1.57755,1.17068,3.84169
-1.55361,1.19885,3.8621
-1.52885,1.2269,3.88271
-1.50327,1.25483,3.90353
-1.47686,1.28263,3.92457
-1.44958,1.3103,3.94583
-1.42143,1.33783,3.96732
-1.39239,1.36523,3.98906
-1.36242,1.39248,4.01104
-1.3315,1.41957,4.0333
-1.29961,1.44652,4.05583
-1.26671,1.47331,4.07867
-1.23275,1.49995,4.10183
-1.1977,1.52643,4.12534
-1.16151,1.55274,4.14923
-1.1241,1.5789,4.17354
-1.0854,1.6049,4.19832
-1.04532,1.63076,4.22362
-1.00372,1.65648,4.24954
-0.96046,1.68208,4.27617
-0.915316,1.70761,4.30368
-0.867988,1.73311,4.3323
-0.818019,1.75868,4.36242
-0.76466,1.78451,4.3919
-0.711692,1.80868,4.41982
-0.660887,1.83053,4.4463
-0.612148,1.85029,4.47149
-0.565322,1.86817,4.4955
-0.520271,1.88438,4.51844
-0.476878,1.89908,4.54038
-0.435047,1.9124,4.56142
-0.3947,1.92447,4.58158
-0.355776,1.93538,4.60093
-0.318231,1.94523,4.6195
-0.282034,1.95409,4.6373
-0.247169,1.96205,4.65436
-0.213634,1.96915,4.67069
-0.181443,1.97547,4.68626
-0.150629,1.98105,4.70107
-0.121246,1.98595,4.71509
-0.0933837,1.99021,4.72824
-0.0671787,1.99387,4.74044
-0.0428517,1.99696,4.75148
-0.0207909,1.99952,4.76095
-0.00921031,2.00076,4.76895
0.00679969,2.00237,4.77644
0.0218117,2.00377,4.78586
0.0406799,2.00536,4.79646
0.0619559,2.00694,4.80792
0.0849707,2.00838,4.82005
0.109335,2.00962,4.83271
0.134788,2.01058,4.84582
0.161145,2.01122,4.8593
0.188262,2.01149,4.87311
0.216028,2.01136,4.88719
0.244351,2.01081,4.90152
0.273154,2.00978,4.91606
0.302374,2.00828,4.9308
0.331955,2.00627,4.94571
0.361849,2.00372,4.96077
0.392014,2.00063,4.97598
0.422412,1.99697,4.99132
0.45301,1.99273,5.00678
0.483778,1.98789,5.02235
0.514689,1.98244,5.03802
0.545717,1.97636,5.0538
0.57684,1.96964,5.06966
0.608037,1.96226,5.08562
0.639288,1.95422,5.10167
0.670576,1.9455,5.1178
0.701883,1.93608,5.13401
0.733194,1.92597,5.15031
0.764494,1.91514,5.16669
0.79577,1.90358,5.18315
