p1,p2,x1,x2,time
10.000000,10.000000,0.000000,-0.500000,2.000000
10.010269,10.200068,0.010000,-0.500007,1.980000
10.042168,10.400555,0.020001,-0.500055,1.960000
10.097380,10.601910,0.030003,-0.500188,1.940000
10.177657,10.804617,0.040009,-0.500452,1.920000
10.284831,11.009196,0.050022,-0.500897,1.900000
10.420829,11.216203,0.060046,-0.501572,1.880000
10.587693,11.426235,0.070087,-0.502533,1.860000
10.787597,11.639931,0.080150,-0.503837,1.840000
11.022874,11.857974,0.090243,-0.505545,1.820000
11.296038,12.081098,0.100375,-0.507722,1.800000
11.609824,12.310086,0.110556,-0.510438,1.780000
11.967215,12.545782,0.120796,-0.513766,1.760000
12.371489,12.789088,0.131111,-0.517788,1.740000
12.826268,13.040978,0.141513,-0.522590,1.720000
13.335572,13.302502,0.152020,-0.528267,1.700000
13.903887,13.574794,0.162650,-0.534923,1.680000
14.536244,13.859084,0.173424,-0.542672,1.660000
15.238306,14.156708,0.184365,-0.551641,1.640000
16.016480,14.469123,0.195499,-0.561970,1.620000
16.878044,14.797923,0.206854,-0.573817,1.600000
17.831302,15.144856,0.218463,-0.587360,1.580000
18.885763,15.511849,0.230361,-0.602800,1.560000
20.052372,15.901033,0.242589,-0.620368,1.540000
21.343772,16.314775,0.255192,-0.640325,1.520000
22.774638,16.755713,0.268220,-0.662975,1.500000
24.362085,17.226803,0.281731,-0.688669,1.480000
26.126165,17.731373,0.295790,-0.717816,1.460000
28.090500,18.273183,0.310470,-0.750896,1.440000
30.283061,18.856512,0.325856,-0.788476,1.420000
32.737173,19.486247,0.342044,-0.831229,1.400000
35.492778,20.168006,0.359145,-0.879960,1.380000
38.598076,20.908286,0.377288,-0.935639,1.360000
42.111654,21.714646,0.396624,-0.999441,1.340000
46.105283,22.595946,0.417329,-1.072807,1.320000
50.667635,23.562641,0.439612,-1.157515,1.300000
55.909280,24.627170,0.463720,-1.255778,1.280000
61.969507,25.804456,0.489952,-1.370386,1.260000
69.025735,27.112572,0.518668,-1.504890,1.240000
77.306758,28.573626,0.550310,-1.663866,1.220000
87.111661,30.214968,0.585425,-1.853298,1.200000
98.837408,32.070850,0.624697,-2.081125,1.180000
113.019931,34.184772,0.668996,-2.358064,1.160000
130.396850,36.612839,0.719443,-2.698866,1.140000
152.005893,39.428702,0.777512,-3.124281,1.120000
179.344264,42.731020,0.845173,-3.664246,1.100000
214.636252,46.655088,0.925133,-4.363236,1.080000
261.302048,51.391600,1.021205,-5.289637,1.060000
324.821235,57.218273,1.138940,-6.553011,1.040000
414.421948,64.555919,1.286754,-8.337872,1.020000
546.638701,74.074248,1.478036,-10.974819,1.000000
753.537264,86.907772,1.735470,-15.104993,0.980000
1104.182251,105.143311,2.100782,-22.109310,0.960000
1770.787521,133.082126,2.659973,-35.431105,0.940000
3288.933907,181.218678,3.622875,-65.779072,0.920000
8095.515067,283.398064,5.666205,-161.877796,0.900000
42604.902049,631.895388,12.634416,-851.870908,0.880000
16757177.974462,8482.836379,169.610411,-335052.391496,0.860000
692569364509101968320364544.000000,3637937316289.831543,72738891561.866623,-13847618691035920496328704.000000,0.840000
156237579282741661773398692869914978844311880948395514393162222935432884133874906170385797704988604222244175014526830577209322186514560903626770845843190071012548754557173915488321702090978558033503715328.000000,1189190983974017825084673411041681611383999360924486453416241173440277270887734417490444288.000000,23777329433993242454718886093416218151087192973588783228994393310476045516261236618035200.000000,-3123901422713690628304368165612057597874988542686420322557140734722031592357677872303736688262322470555103003565270551790645554364176559339019401568815881740449521963218831355001915720270446331365949440.000000,0.820000
inf,inf,inf,-inf,0.800000
inf,inf,inf,-inf,0.780000
inf,inf,inf,-inf,0.760000
inf,inf,inf,-inf,0.740000
inf,inf,inf,-inf,0.720000
inf,inf,inf,-inf,0.700000
inf,inf,inf,-inf,0.680000
inf,inf,inf,-inf,0.660000
inf,inf,inf,-inf,0.640000
inf,inf,inf,-inf,0.620000
inf,inf,inf,-inf,0.600000
inf,inf,inf,-inf,0.580000
inf,inf,inf,-inf,0.560000
inf,inf,inf,-inf,0.540000
inf,inf,inf,-inf,0.520000
inf,inf,inf,-inf,0.500000
inf,inf,inf,-inf,0.480000
inf,inf,inf,-inf,0.460000
inf,inf,inf,-inf,0.440000
inf,inf,inf,-inf,0.420000
inf,inf,inf,-inf,0.400000
inf,inf,inf,-inf,0.380000
inf,inf,inf,-inf,0.360000
inf,inf,inf,-inf,0.340000
inf,inf,inf,-inf,0.320000
inf,inf,inf,-inf,0.300000
inf,inf,inf,-inf,0.280000
inf,inf,inf,-inf,0.260000
inf,inf,inf,-inf,0.240000
inf,inf,inf,-inf,0.220000
inf,inf,inf,-inf,0.200000
inf,inf,inf,-inf,0.180000
inf,inf,inf,-inf,0.160000
inf,inf,inf,-inf,0.140000
inf,inf,inf,-inf,0.120000
inf,inf,inf,-inf,0.100000
inf,inf,inf,-inf,0.080000
inf,inf,inf,-inf,0.060000
inf,inf,inf,-inf,0.040000
inf,inf,inf,-inf,0.020000
inf,inf,inf,-inf,-0.000000
