p1,p2,x1,x2,time
2.00307,0,0,0.851357,0
2.00304,-0.0111175,0.00472519,0.851313,0.00555028
2.00295,-0.0222347,0.00944988,0.851181,0.0111006
2.00279,-0.0333512,0.0141736,0.850961,0.0166508
2.00258,-0.0444667,0.0188959,0.850654,0.0222011
2.0023,-0.0555808,0.0236162,0.850259,0.0277514
2.00196,-0.0666932,0.0283341,0.849777,0.0333017
2.00157,-0.0778036,0.033049,0.849208,0.0388519
2.00111,-0.0889116,0.0377606,0.848552,0.0444022
2.0006,-0.100017,0.0424682,0.84781,0.0499525
2.00003,-0.111119,0.0471716,0.846982,0.0555028
1.9994,-0.122218,0.0518701,0.846069,0.061053
1.99872,-0.133314,0.0565632,0.84507,0.0666033
1.99799,-0.144405,0.0612507,0.843988,0.0721536
1.9972,-0.155492,0.0659318,0.842821,0.0777039
1.99636,-0.166575,0.0706063,0.841572,0.0832542
1.99547,-0.177653,0.0752736,0.84024,0.0888044
1.99453,-0.188726,0.0799333,0.838826,0.0943547
1.99355,-0.199793,0.0845849,0.83733,0.099905
1.99252,-0.210855,0.0892279,0.835754,0.105455
1.99144,-0.221911,0.093862,0.834099,0.111006
1.99033,-0.232961,0.0984867,0.832364,0.116556
1.98917,-0.244005,0.103102,0.83055,0.122106
1.98797,-0.255042,0.107706,0.82866,0.127656
1.98673,-0.266072,0.1123,0.826692,0.133207
1.98546,-0.277096,0.116883,0.824648,0.138757
1.98416,-0.288112,0.121454,0.822528,0.144307
1.98282,-0.299121,0.126013,0.820334,0.149857
1.98144,-0.310122,0.13056,0.818066,0.155408
1.98004,-0.321116,0.135094,0.815725,0.160958
1.97861,-0.332102,0.139615,0.813311,0.166508
1.97716,-0.34308,0.144122,0.810825,0.172059
1.97568,-0.354049,0.148615,0.808269,0.177609
1.97417,-0.365011,0.153094,0.805642,0.183159
1.97264,-0.375964,0.157558,0.802945,0.188709
1.9711,-0.386908,0.162007,0.800179,0.19426
1.96953,-0.397844,0.166441,0.797345,0.19981
1.96794,-0.408771,0.170858,0.794443,0.20536
