det, time
0.001344, 0.052360
0.005255, 0.104720
0.011518, 0.157080
0.019904, 0.209440
0.030182, 0.261799
0.042139, 0.314159
0.055577, 0.366519
0.070315, 0.418879
0.086184, 0.471239
0.103028, 0.523599
0.120697, 0.575959
0.139053, 0.628319
0.157958, 0.680678
0.177285, 0.733038
0.196908, 0.785398
0.216705, 0.837758
0.236558, 0.890118
0.256352, 0.942478
0.275976, 0.994838
0.295318, 1.047198
0.314272, 1.099557
0.332732, 1.151917
0.350593, 1.204277
0.367755, 1.256637
0.384116, 1.308997
0.399577, 1.361357
0.414042, 1.413717
0.427414, 1.466077
0.439597, 1.518436
