det,time
1.29186e-06,0.015708
1.03334e-05,0.0314159
3.48663e-05,0.0471239
8.26171e-05,0.0628319
0.000161289,0.0785398
0.000278553,0.0942478
0.000442061,0.109956
0.000659381,0.125664
0.000938057,0.141372
0.00128557,0.15708
0.00170932,0.172788
0.00221664,0.188496
0.00281479,0.204204
0.00351092,0.219911
0.00431209,0.235619
0.00522528,0.251327
0.00625733,0.267035
0.00741496,0.282743
0.0087048,0.298451
0.0101333,0.314159
0.0117068,0.329867
0.0134316,0.345575
0.0153136,0.361283
0.0173588,0.376991
0.0195728,0.392699
0.0219613,0.408407
0.0245297,0.424115
0.0272831,0.439823
0.0302267,0.455531
0.0333652,0.471239
0.0367032,0.486947
0.0402454,0.502655
0.0439958,0.518363
0.0479586,0.534071
0.0521377,0.549779
0.0565365,0.565487
0.0611586,0.581195
0.0660071,0.596903
0.071085,0.612611
0.076395,0.628319
0.0819397,0.644026
0.0877213,0.659734
0.0937419,0.675442
0.100003,0.69115
0.106507,0.706858
0.113254,0.722566
0.120247,0.738274
0.127484,0.753982
0.134968,0.76969
0.142699,0.785398
0.150676,0.801106
0.1589,0.816814
0.16737,0.832522
0.176086,0.84823
0.185047,0.863938
0.194251,0.879646
0.203698,0.895354
0.213385,0.911062
0.223311,0.92677
0.233475,0.942478
0.243872,0.958186
0.254502,0.973894
0.265362,0.989602
0.276448,1.00531
0.287757,1.02102
0.299286,1.03673
0.311031,1.05243
0.322988,1.06814
0.335154,1.08385
0.347524,1.09956
0.360094,1.11527
0.372858,1.13097
0.385812,1.14668
0.398952,1.16239
0.412272,1.1781
0.425765,1.19381
0.439428,1.20951
0.453254,1.22522
0.467237,1.24093
0.481372,1.25664
0.495651,1.27235
0.510069,1.28805
0.52462,1.30376
0.539295,1.31947
0.55409,1.33518
0.568997,1.35088
0.584009,1.36659
0.599119,1.3823
0.614319,1.39801
0.629603,1.41372
0.644964,1.42942
0.660393,1.44513
0.675884,1.46084
0.691428,1.47655
0.707019,1.49226
0.722648,1.50796
0.738308,1.52367
0.753992,1.53938
0.769691,1.55509
0.785397,1.5708
