x1,x2,val
-6.300000,2.600000,0.126891
-6.300000,2.603333,0.128510
-6.300000,2.606667,0.127037
-6.300000,2.610000,0.125630
-6.300000,2.613333,0.124295
-6.300000,2.616667,0.122927
-6.300000,2.620000,0.121854
-6.300000,2.623333,0.120744
-6.300000,2.626667,0.119721
-6.300000,2.630000,0.117551
-6.300000,2.633333,0.115286
-6.300000,2.636667,0.112896
-6.300000,2.640000,0.110507
-6.300000,2.643333,0.107967
-6.300000,2.646667,0.111343
-6.300000,2.650000,0.099568
-6.300000,2.653333,0.097544
-6.300000,2.656667,0.095444
-6.300000,2.660000,0.104141
-6.300000,2.663333,0.100592
-6.300000,2.666667,0.104545
-6.300000,2.670000,0.104891
-6.300000,2.673333,0.103640
-6.300000,2.676667,0.105878
-6.300000,2.680000,0.106502
-6.300000,2.683333,0.107229
-6.300000,2.686667,0.108055
-6.300000,2.690000,0.108954
-6.300000,2.693333,0.109952
-6.300000,2.696667,0.111035
-6.293333,2.600000,0.123332
-6.293333,2.603333,0.121756
-6.293333,2.606667,0.120258
-6.293333,2.610000,0.118818
-6.293333,2.613333,0.117469
-6.293333,2.616667,0.116194
-6.293333,2.620000,0.115003
-6.293333,2.623333,0.113392
-6.293333,2.626667,0.111042
-6.293333,2.630000,0.108627
-6.293333,2.633333,0.106176
-6.293333,2.636667,0.103645
-6.293333,2.640000,0.109721
-6.293333,2.643333,0.094881
-6.293333,2.646667,0.092818
-6.293333,2.650000,0.090675
-6.293333,2.653333,0.097955
-6.293333,2.656667,0.097958
-6.293333,2.660000,0.098064
-6.293333,2.663333,0.098280
-6.293333,2.666667,0.098603
-6.293333,2.670000,0.099025
-6.293333,2.673333,0.099550
-6.293333,2.676667,0.100181
-6.293333,2.680000,0.100909
-6.293333,2.683333,0.101730
-6.293333,2.686667,0.102672
-6.293333,2.690000,0.103685
-6.293333,2.693333,0.104798
-6.293333,2.696667,0.106008
-6.286667,2.600000,0.116579
-6.286667,2.603333,0.114963
-6.286667,2.606667,0.113017
-6.286667,2.610000,0.111979
-6.286667,2.613333,0.110612
-6.286667,2.616667,0.109328
-6.286667,2.620000,0.107038
-6.286667,2.623333,0.104585
-6.286667,2.626667,0.102076
-6.286667,2.630000,0.099498
-6.286667,2.633333,0.096840
-6.286667,2.636667,0.099558
-6.286667,2.640000,0.088309
-6.286667,2.643333,0.086108
-6.286667,2.646667,0.083812
-6.286667,2.650000,0.091831
-6.286667,2.653333,0.088173
-6.286667,2.656667,0.091847
-6.286667,2.660000,0.092012
-6.286667,2.663333,0.089379
-6.286667,2.666667,0.092706
-6.286667,2.670000,0.093217
-6.286667,2.673333,0.093855
-6.286667,2.676667,0.094585
-6.286667,2.680000,0.095425
-6.286667,2.683333,0.096382
-6.286667,2.686667,0.097432
-6.286667,2.690000,0.098583
-6.286667,2.693333,0.099831
-6.286667,2.696667,0.101172
-6.280000,2.600000,0.109794
-6.280000,2.603333,0.108148
-6.280000,2.606667,0.106584
-6.280000,2.610000,0.105108
-6.280000,2.613333,0.103318
-6.280000,2.616667,0.100793
-6.280000,2.620000,0.098227
-6.280000,2.623333,0.095608
-6.280000,2.626667,0.092917
-6.280000,2.630000,0.098221
-6.280000,2.633333,0.084105
-6.280000,2.636667,0.081820
-6.280000,2.640000,0.079465
-6.280000,2.643333,0.085968
-6.280000,2.646667,0.085728
-6.280000,2.650000,0.085617
-6.280000,2.653333,0.085620
-6.280000,2.656667,0.085749
-6.280000,2.660000,0.086005
-6.280000,2.663333,0.086389
-6.280000,2.666667,0.086888
-6.280000,2.670000,0.087515
-6.280000,2.673333,0.088268
-6.280000,2.676667,0.089126
-6.280000,2.680000,0.090094
-6.280000,2.683333,0.091195
-6.280000,2.686667,0.092385
-6.280000,2.690000,0.093685
-6.280000,2.693333,0.095076
-6.280000,2.696667,0.104417
-6.273333,2.600000,0.102977
-6.273333,2.603333,0.101297
-6.273333,2.606667,0.099706
