error, time
4.53149e-10,0
6.72066e-10,0.0167836
8.06104e-10,0.0335672
8.93623e-10,0.0503508
9.51126e-10,0.0671344
9.87922e-10,0.083918
1.01264e-09,0.100702
1.03551e-09,0.117485
1.05595e-09,0.134269
1.07374e-09,0.151052
1.09042e-09,0.167836
1.10873e-09,0.18462
1.12777e-09,0.201403
1.14694e-09,0.218187
1.16587e-09,0.23497
1.18437e-09,0.251754
1.20234e-09,0.268537
1.21979e-09,0.285321
1.23675e-09,0.302105
1.25328e-09,0.318888
1.26947e-09,0.335672
1.28539e-09,0.352455
1.30113e-09,0.369239
1.31676e-09,0.386023
1.33234e-09,0.402806
1.34797e-09,0.41959
1.36377e-09,0.436373
1.37975e-09,0.453157
1.3959e-09,0.469941
1.41226e-09,0.486724
1.42882e-09,0.503508
1.44561e-09,0.520291
1.46262e-09,0.537075
1.47989e-09,0.553859
1.49741e-09,0.570642
1.51519e-09,0.587426
1.53325e-09,0.604209
1.55158e-09,0.620993
1.57021e-09,0.637777
1.58912e-09,0.65456
1.60834e-09,0.671344
1.62786e-09,0.688127
1.64768e-09,0.704911
1.66782e-09,0.721695
1.68828e-09,0.738478
1.70907e-09,0.755262
1.73017e-09,0.772045
1.75161e-09,0.788829
1.77338e-09,0.805612
1.79549e-09,0.822396
1.81795e-09,0.83918
1.84074e-09,0.855963
1.86389e-09,0.872747
1.88738e-09,0.88953
1.91124e-09,0.906314
1.93545e-09,0.923098
1.96003e-09,0.939881
1.98499e-09,0.956665
2.01032e-09,0.973448
2.03602e-09,0.990232
2.06211e-09,1.00702
2.08858e-09,1.0238
2.11544e-09,1.04058
2.1427e-09,1.05737
2.17035e-09,1.07415
2.19841e-09,1.09093
2.22687e-09,1.10772
2.25575e-09,1.1245
2.28504e-09,1.14128
2.31475e-09,1.15807
2.34489e-09,1.17485
2.37546e-09,1.19164
2.40647e-09,1.20842
2.43792e-09,1.2252
2.46981e-09,1.24199
2.50216e-09,1.25877
2.53497e-09,1.27555
2.56824e-09,1.29234
2.60198e-09,1.30912
2.63619e-09,1.3259
2.67089e-09,1.34269
2.70607e-09,1.35947
2.74175e-09,1.37625
2.77793e-09,1.39304
2.81461e-09,1.40982
2.85181e-09,1.42661
2.88953e-09,1.44339
2.92777e-09,1.46017
2.96655e-09,1.47696
3.00586e-09,1.49374
3.04573e-09,1.51052
3.08615e-09,1.52731
3.12713e-09,1.54409
