p1,p2,x1,x2,time
1,0,0,0,0
0.999985,-0.00555025,-2.84966e-08,-1.54027e-05,0.00555028
0.999938,-0.0111003,-2.2797e-07,-6.16099e-05,0.0111006
0.999862,-0.0166501,-7.69387e-07,-0.000138619,0.0166508
0.999754,-0.0221993,-1.82369e-06,-0.000246424,0.0222011
0.999616,-0.0277478,-3.5618e-06,-0.00038502,0.0277514
0.999449,-0.0332955,-6.15458e-06,-0.000554398,0.0333017
0.999251,-0.0388422,-9.77286e-06,-0.000754548,0.0388519
0.999024,-0.0443877,-1.45874e-05,-0.000985457,0.0444022
0.998768,-0.0499319,-2.07689e-05,-0.00124711,0.0499525
0.998483,-0.0554745,-2.84879e-05,-0.0015395,0.0555028
0.998171,-0.0610155,-3.7915e-05,-0.0018626,0.061053
0.997831,-0.0665547,-4.92205e-05,-0.00221639,0.0666033
0.997464,-0.072092,-6.25749e-05,-0.00260086,0.0721536
0.99707,-0.0776271,-7.81483e-05,-0.00301599,0.0777039
0.996651,-0.0831599,-9.61107e-05,-0.00346174,0.0832542
0.996207,-0.0886904,-0.000116632,-0.0039381,0.0888044
0.995739,-0.0942184,-0.000139882,-0.00444504,0.0943547
0.995247,-0.0997436,-0.000166031,-0.00498254,0.099905
0.994733,-0.105266,-0.000195248,-0.00555057,0.105455
0.994196,-0.110786,-0.000227702,-0.00614909,0.111006
0.993638,-0.116302,-0.000263563,-0.00677809,0.116556
0.99306,-0.121816,-0.000302999,-0.00743753,0.122106
0.992462,-0.127326,-0.000346179,-0.00812737,0.127656
0.991845,-0.132832,-0.000393273,-0.0088476,0.133207
0.99121,-0.138336,-0.000444449,-0.00959817,0.138757
0.990558,-0.143835,-0.000499874,-0.0103791,0.144307
0.989889,-0.149331,-0.000559718,-0.0111902,0.149857
0.989204,-0.154824,-0.000624148,-0.0120316,0.155408
0.988505,-0.160312,-0.000693332,-0.0129033,0.160958
0.987792,-0.165797,-0.000767437,-0.0138051,0.166508
0.987065,-0.171277,-0.000846631,-0.014737,0.172059
0.986325,-0.176754,-0.000931082,-0.0156991,0.177609
0.985574,-0.182226,-0.00102096,-0.0166912,0.183159
0.984811,-0.187694,-0.00111642,-0.0177134,0.188709
0.984038,-0.193158,-0.00121764,-0.0187656,0.19426
0.983255,-0.198617,-0.00132478,-0.0198477,0.19981
0.982463,-0.204072,-0.00143802,-0.0209598,0.20536
0.981662,-0.209523,-0.0015575,-0.0221018,0.210911
0.980854,-0.214969,-0.00168341,-0.0232737,0.216461
0.980038,-0.220411,-0.00181591,-0.0244753,0.222011
0.979216,-0.225848,-0.00195516,-0.0257068,0.227561
0.978387,-0.231281,-0.00210132,-0.0269681,0.233112
0.977553,-0.236709,-0.00225457,-0.0282591,0.238662
0.976714,-0.242132,-0.00241507,-0.0295797,0.244212
0.97587,-0.247551,-0.00258298,-0.0309301,0.249762
0.975023,-0.252965,-0.00275847,-0.03231,0.255313
0.974171,-0.258374,-0.00294169,-0.0337196,0.260863
0.973317,-0.263779,-0.00313283,-0.0351587,0.266413
0.972459,-0.269179,-0.00333203,-0.0366273,0.271964
0.9716,-0.274574,-0.00353946,-0.0381255,0.277514
0.970738,-0.279964,-0.0037553,-0.039653,0.283064
0.969875,-0.285349,-0.00397969,-0.0412101,0.288614
0.969011,-0.29073,-0.00421281,-0.0427965,0.294165
0.968146,-0.296106,-0.00445481,-0.0444123,0.299715
0.967281,-0.301477,-0.00470586,-0.0460574,0.305265
0.966415,-0.306843,-0.00496613,-0.0477318,0.310816
0.965549,-0.312205,-0.00523576,-0.0494355,0.316366
0.964684,-0.317561,-0.00551494,-0.0511684,0.321916
0.963819,-0.322913,-0.00580382,-0.0529305,0.327466
0.962955,-0.32826,-0.00610255,-0.0547218,0.333017
0.962092,-0.333603,-0.00641131,-0.0565423,0.338567
0.961231,-0.33894,-0.00673026,-0.0583918,0.344117
0.960371,-0.344273,-0.00705955,-0.0602705,0.349667
0.959512,-0.349601,-0.00739935,-0.0621782,0.355218
0.958656,-0.354924,-0.00774981,-0.064115,0.360768
0.957801,-0.360242,-0.00811111,-0.0660807,0.366318
0.956949,-0.365556,-0.0084834,-0.0680754,0.371869
0.9561,-0.370865,-0.00886684,-0.0700991,0.377419
0.955252,-0.376169,-0.00926159,-0.0721516,0.382969
0.954408,-0.381469,-0.00966782,-0.0742331,0.388519
0.953566,-0.386764,-0.0100857,-0.0763434,0.39407
0.952727,-0.392054,-0.0105153,-0.0784826,0.39962
0.951891,-0.39734,-0.0109569,-0.0806505,0.40517
0.951058,-0.402621,-0.0114106,-0.0828472,0.41072
0.950229,-0.407897,-0.0118766,-0.0850727,0.416271
0.949403,-0.413169,-0.0123551,-0.0873269,0.421821
0.94858,-0.418436,-0.0128461,-0.0896098,0.427371
0.94776,-0.423698,-0.0133498,-0.0919213,0.432922
0.946945,-0.428956,-0.0138665,-0.0942615,0.438472
0.946132,-0.43421,-0.0143962,-0.0966303,0.444022
0.945324,-0.439459,-0.0149392,-0.0990277,0.449572
0.944519,-0.444704,-0.0154955,-0.101454,0.455123
0.943717,-0.449944,-0.0160654,-0.103908,0.460673
0.94292,-0.455179,-0.016649,-0.106391,0.466223
0.942126,-0.460411,-0.0172465,-0.108903,0.471774
0.941337,-0.465638,-0.017858,-0.111443,0.477324
0.940551,-0.47086,-0.0184836,-0.114011,0.482874
0.939769,-0.476078,-0.0191236,-0.116608,0.488424
0.938991,-0.481292,-0.0197781,-0.119233,0.493975
0.938217,-0.486502,-0.0204472,-0.121887,0.499525
0.937447,-0.491707,-0.0211312,-0.124569,0.505075
0.936681,-0.496908,-0.0218301,-0.127279,0.510625
0.935919,-0.502104,-0.0225441,-0.130018,0.516176
0.935161,-0.507297,-0.0232734,-0.132784,0.521726
0.934407,-0.512485,-0.0240181,-0.135579,0.527276
0.933657,-0.517669,-0.0247784,-0.138403,0.532827
0.932912,-0.522849,-0.0255545,-0.141254,0.538377
0.93217,-0.528025,-0.0263465,-0.144134,0.543927
0.931432,-0.533197,-0.0271545,-0.147042,0.549477
0.930698,-0.538365,-0.0279788,-0.149978,0.555028
0.929969,-0.543528,-0.0288194,-0.152942,0.560578
0.929243,-0.548688,-0.0296766,-0.155934,0.566128
0.928521,-0.553843,-0.0305504,-0.158954,0.571679
0.927804,-0.558995,-0.0314411,-0.162003,0.577229
0.92709,-0.564143,-0.0323488,-0.165079,0.582779
0.92638,-0.569286,-0.0332736,-0.168183,0.588329
0.925674,-0.574426,-0.0342158,-0.171316,0.59388
0.924973,-0.579562,-0.0351754,-0.174476,0.59943
0.924275,-0.584694,-0.0361526,-0.177664,0.60498
0.923581,-0.589822,-0.0371476,-0.18088,0.61053
0.922891,-0.594946,-0.0381605,-0.184124,0.616081
0.922205,-0.600066,-0.0391915,-0.187396,0.621631
0.921523,-0.605183,-0.0402408,-0.190696,0.627181
0.920844,-0.610296,-0.0413084,-0.194024,0.632732
0.92017,-0.615405,-0.0423946,-0.197379,0.638282
0.919499,-0.62051,-0.0434995,-0.200762,0.643832
0.918832,-0.625612,-0.0446232,-0.204173,0.649382
0.918169,-0.63071,-0.045766,-0.207612,0.654933
0.91751,-0.635804,-0.0469279,-0.211079,0.660483
0.916854,-0.640894,-0.0481091,-0.214573,0.666033
0.916202,-0.645981,-0.0493098,-0.218095,0.671584
0.915554,-0.651065,-0.0505301,-0.221644,0.677134
0.914909,-0.656145,-0.0517702,-0.225222,0.682684
0.914268,-0.661221,-0.0530303,-0.228826,0.688234
0.913631,-0.666294,-0.0543104,-0.232459,0.693785
0.912997,-0.671363,-0.0556107,-0.236119,0.699335
0.912366,-0.676428,-0.0569315,-0.239807,0.704885
0.91174,-0.68149,-0.0582728,-0.243522,0.710435
0.911117,-0.686549,-0.0596348,-0.247265,0.715986
0.910497,-0.691604,-0.0610176,-0.251035,0.721536
0.909881,-0.696656,-0.0624215,-0.254833,0.727086
0.909268,-0.701705,-0.0638464,-0.258658,0.732637
0.908658,-0.70675,-0.0652928,-0.262511,0.738187
0.908052,-0.711791,-0.0667605,-0.266391,0.743737
0.90745,-0.716829,-0.0682499,-0.270299,0.749287
0.90685,-0.721864,-0.069761,-0.274234,0.754838
0.906254,-0.726896,-0.0712941,-0.278196,0.760388
0.905661,-0.731924,-0.0728492,-0.282186,0.765938
0.905072,-0.736949,-0.0744266,-0.286204,0.771488
0.904486,-0.741971,-0.0760263,-0.290248,0.777039
0.903903,-0.74699,-0.0776485,-0.29432,0.782589
0.903323,-0.752005,-0.0792935,-0.298419,0.788139
0.902746,-0.757017,-0.0809612,-0.302546,0.79369
