p1,p2,x1,x2,time
2.00307,0,0,0.851357,0
2.00279,-0.0336171,0.0142866,0.850955,0.0167836
2.00195,-0.0672248,0.0285597,0.849752,0.0335672
2.00056,-0.100814,0.0428059,0.847753,0.0503508
1.99866,-0.134375,0.057012,0.84497,0.0671344
1.99626,-0.1679,0.0711649,0.841417,0.083918
1.9934,-0.201381,0.0852518,0.837109,0.100702
1.99013,-0.234811,0.0992601,0.832065,0.117485
1.98649,-0.268182,0.113178,0.826306,0.134269
1.98252,-0.30149,0.126993,0.819852,0.151052
1.97827,-0.334729,0.140694,0.812723,0.167836
1.97377,-0.367894,0.15427,0.804939,0.18462
1.96907,-0.400981,0.16771,0.796519,0.201403
1.96421,-0.433989,0.181004,0.787481,0.218187
1.95922,-0.466914,0.19414,0.777841,0.23497
1.95413,-0.499754,0.20711,0.767615,0.251754
1.94896,-0.532508,0.219904,0.756817,0.268537
1.94375,-0.565175,0.232511,0.745457,0.285321
1.93852,-0.597754,0.244924,0.733548,0.302105
1.93327,-0.630245,0.257131,0.721099,0.318888
1.92804,-0.662649,0.269126,0.708118,0.335672
1.92282,-0.694964,0.280898,0.694613,0.352455
1.91764,-0.727193,0.292439,0.680589,0.369239
1.9125,-0.759334,0.303741,0.666053,0.386023
1.90742,-0.79139,0.314794,0.65101,0.402806
1.90238,-0.823361,0.32559,0.635463,0.41959
1.89741,-0.855248,0.336122,0.619417,0.436373
1.89251,-0.887052,0.34638,0.602874,0.453157
1.88767,-0.918775,0.356356,0.585837,0.469941
1.8829,-0.950417,0.366042,0.568308,0.486724
1.87821,-0.981979,0.37543,0.55029,0.503508
1.87358,-1.01346,0.384511,0.531784,0.520291
1.86904,-1.04487,0.393277,0.512792,0.537075
1.86456,-1.0762,0.401721,0.493315,0.553859
1.86016,-1.10746,0.409834,0.473355,0.570642
1.85583,-1.13864,0.417608,0.452912,0.587426
1.85158,-1.16975,0.425034,0.431987,0.604209
1.8474,-1.2008,0.432105,0.410581,0.620993
1.84329,-1.23177,0.438814,0.388695,0.637777
1.83924,-1.26267,0.44515,0.36633,0.65456
1.83527,-1.29351,0.451108,0.343486,0.671344
1.83137,-1.32427,0.456677,0.320163,0.688127
1.82753,-1.35498,0.461852,0.296363,0.704911
1.82375,-1.38562,0.466623,0.272086,0.721695
1.82004,-1.4162,0.470982,0.247331,0.738478
1.81639,-1.44671,0.474922,0.2221,0.755262
1.8128,-1.47717,0.478435,0.196393,0.772045
1.80927,-1.50757,0.481512,0.170211,0.788829
1.8058,-1.5379,0.484146,0.143553,0.805612
1.80239,-1.56818,0.486328,0.11642,0.822396
1.79903,-1.5984,0.488051,0.0888126,0.83918
1.79572,-1.62857,0.489307,0.0607309,0.855963
1.79247,-1.65868,0.490087,0.0321754,0.872747
1.78926,-1.68874,0.490384,0.00314632,0.88953
1.78611,-1.71874,0.49019,-0.026356,0.906314
1.78301,-1.74869,0.489497,-0.0563311,0.923098
1.77995,-1.77859,0.488296,-0.0867788,0.939881
1.77694,-1.80844,0.486581,-0.117699,0.956665
1.77398,-1.83824,0.484343,-0.14909,0.973448
1.77106,-1.86799,0.481574,-0.180954,0.990232
1.76818,-1.89769,0.478266,-0.213288,1.00702
1.76534,-1.92734,0.474412,-0.246093,1.0238
1.76255,-1.95695,0.470003,-0.279369,1.04058
1.7598,-1.98651,0.465032,-0.313115,1.05737
1.75708,-2.01602,0.45949,-0.347331,1.07415
1.7544,-2.04549,0.45337,-0.382016,1.09093
1.75176,-2.07491,0.446664,-0.41717,1.10772
1.74916,-2.10429,0.439364,-0.452794,1.1245
1.74659,-2.13362,0.431462,-0.488885,1.14128
1.74406,-2.16292,0.422951,-0.525445,1.15807
1.74156,-2.19217,0.413822,-0.562472,1.17485
1.73909,-2.22138,0.404068,-0.599967,1.19164
1.73666,-2.25054,0.39368,-0.637929,1.20842
1.73425,-2.27967,0.382652,-0.676358,1.2252
1.73188,-2.30876,0.370974,-0.715253,1.24199
1.72954,-2.33781,0.35864,-0.754614,1.25877
1.72723,-2.36681,0.345641,-0.79444,1.27555
1.72494,-2.39578,0.33197,-0.834732,1.29234
1.72269,-2.42472,0.317619,-0.875489,1.30912
1.72046,-2.45361,0.30258,-0.91671,1.3259
1.71826,-2.48247,0.286845,-0.958395,1.34269
1.71608,-2.51129,0.270407,-1.00054,1.35947
1.71394,-2.54007,0.253257,-1.04316,1.37625
1.71181,-2.56882,0.235388,-1.08623,1.39304
1.70971,-2.59753,0.216793,-1.12977,1.40982
1.70764,-2.62621,0.197462,-1.17377,1.42661
1.70559,-2.65485,0.17739,-1.21824,1.44339
1.70356,-2.68346,0.156567,-1.26316,1.46017
1.70156,-2.71204,0.134987,-1.30855,1.47696
1.69957,-2.74058,0.11264,-1.3544,1.49374
1.69761,-2.76909,0.0895207,-1.4007,1.51052
1.69568,-2.79756,0.06562,-1.44747,1.52731
1.69376,-2.82601,0.0409305,-1.4947,1.54409
1.69186,-2.85442,0.0154445,-1.54239,1.56087
1.69075,-2.8712,7.00455e-10,-1.5708,1.5708
