p1,p2,x1,x2,time
0,-21.2606,3.67056,0,0
-0.169645,-21.2599,3.67042,-0.0751414,0.00353434
-0.339271,-21.2576,3.67002,-0.150277,0.00706868
-0.508859,-21.2537,3.66936,-0.225403,0.010603
-0.678389,-21.2484,3.66843,-0.300511,0.0141374
-0.847843,-21.2415,3.66724,-0.375599,0.0176717
-1.0172,-21.2331,3.66578,-0.450659,0.021206
-1.18645,-21.2231,3.66405,-0.525686,0.0247404
-1.35556,-21.2117,3.66206,-0.600676,0.0282747
-1.52452,-21.1987,3.6598,-0.675623,0.0318091
-1.69331,-21.1843,3.65728,-0.750522,0.0353434
-1.86191,-21.1683,3.6545,-0.825366,0.0388777
-2.0303,-21.1509,3.65145,-0.900152,0.0424121
-2.19847,-21.132,3.64814,-0.974874,0.0459464
-2.3664,-21.1117,3.64456,-1.04953,0.0494808
-2.53406,-21.0899,3.64072,-1.1241,0.0530151
-2.70145,-21.0667,3.63661,-1.1986,0.0565494
-2.86855,-21.0421,3.63225,-1.27302,0.0600838
-3.03533,-21.0161,3.62761,-1.34734,0.0636181
-3.20179,-20.9886,3.62272,-1.42157,0.0671525
-3.3679,-20.9599,3.61757,-1.4957,0.0706868
-3.53366,-20.9297,3.61215,-1.56973,0.0742211
-3.69904,-20.8982,3.60647,-1.64364,0.0777555
-3.86402,-20.8654,3.60053,-1.71745,0.0812898
-4.02861,-20.8313,3.59433,-1.79113,0.0848242
-4.19277,-20.7959,3.58787,-1.8647,0.0883585
-4.3565,-20.7593,3.58115,-1.93813,0.0918928
-4.51978,-20.7214,3.57417,-2.01144,0.0954272
-4.6826,-20.6823,3.56693,-2.0846,0.0989615
-4.84494,-20.642,3.55943,-2.15763,0.102496
-5.0068,-20.6005,3.55168,-2.23051,0.10603
-5.16815,-20.5578,3.54367,-2.30325,0.109565
-5.329,-20.514,3.5354,-2.37583,0.113099
-5.48932,-20.4691,3.52687,-2.44825,0.116633
-5.6491,-20.423,3.51809,-2.52052,0.120168
-5.80834,-20.3759,3.50906,-2.59262,0.123702
-5.96702,-20.3278,3.49977,-2.66455,0.127236
-6.12514,-20.2786,3.49022,-2.73631,0.130771
-6.28268,-20.2284,3.48043,-2.80789,0.134305
-6.43964,-20.1772,3.47038,-2.87929,0.137839
-6.596,-20.1251,3.46007,-2.95051,0.141374
-6.75176,-20.072,3.44952,-3.02155,0.144908
-6.90691,-20.018,3.43872,-3.0924,0.148442
-7.06144,-19.9631,3.42766,-3.16305,0.151977
-7.21535,-19.9073,3.41636,-3.23351,0.155511
-7.36862,-19.8506,3.4048,-3.30377,0.159045
-7.52125,-19.7931,3.393,-3.37382,0.16258
-7.67324,-19.7348,3.38096,-3.44368,0.166114
-7.82457,-19.6758,3.36866,-3.51332,0.169648
-7.97525,-19.6159,3.35612,-3.58276,0.173183
-8.12527,-19.5553,3.34334,-3.65198,0.176717
-8.27462,-19.494,3.33031,-3.72099,0.180251
-8.4233,-19.4319,3.31703,-3.78977,0.183786
-8.57131,-19.3692,3.30352,-3.85834,0.18732
-8.71863,-19.3058,3.28976,-3.92669,0.190854
-8.86527,-19.2418,3.27576,-3.99481,0.194389
-9.01123,-19.1771,3.26152,-4.0627,0.197923
-9.1565,-19.1119,3.24704,-4.13037,0.201457
-9.30108,-19.046,3.23233,-4.1978,0.204992
-9.44497,-18.9796,3.21737,-4.26499,0.208526
-9.58816,-18.9126,3.20218,-4.33196,0.21206
-9.73065,-18.8451,3.18675,-4.39868,0.215595
-9.87245,-18.777,3.17109,-4.46517,0.219129
-10.0135,-18.7085,3.15519,-4.53141,0.222663
-10.1539,-18.6395,3.13906,-4.59741,0.226198
-10.2936,-18.57,3.12269,-4.66317,0.229732
-10.4326,-18.5,3.10609,-4.72867,0.233266
-10.5709,-18.4297,3.08927,-4.79394,0.236801
-10.7085,-18.3589,3.07221,-4.85895,0.240335
-10.8454,-18.2877,3.05492,-4.92371,0.243869
-10.9816,-18.2161,3.0374,-4.98822,0.247404
-11.1171,-18.1441,3.01966,-5.05247,0.250938
-11.2519,-18.0718,3.00169,-5.11647,0.254472
-11.386,-17.9991,2.98349,-5.18021,0.258007
-11.5194,-17.9261,2.96507,-5.2437,0.261541
-11.6521,-17.8528,2.94643,-5.30693,0.265075
-11.7842,-17.7792,2.92756,-5.3699,0.26861
-11.9155,-17.7052,2.90847,-5.4326,0.272144
-12.0461,-17.631,2.88916,-5.49505,0.275678
-12.1761,-17.5565,2.86963,-5.55723,0.279213
-12.3054,-17.4818,2.84988,-5.61915,0.282747
-12.434,-17.4068,2.82991,-5.6808,0.286282
-12.5619,-17.3315,2.80972,-5.74219,0.289816
-12.6891,-17.2561,2.78932,-5.80331,0.29335
-12.8157,-17.1804,2.7687,-5.86417,0.296885
-12.9416,-17.1045,2.74787,-5.92476,0.300419
-13.0669,-17.0284,2.72682,-5.98508,0.303953
-13.1914,-16.9521,2.70556,-6.04513,0.307488
-13.3153,-16.8756,2.68409,-6.1049,0.311022
-13.4386,-16.799,2.66241,-6.16441,0.314556
-13.5612,-16.7221,2.64052,-6.22365,0.318091
-13.6832,-16.6452,2.61842,-6.28262,0.321625
-13.8045,-16.568,2.59611,-6.34131,0.325159
-13.9252,-16.4908,2.57359,-6.39973,0.328694
-14.0452,-16.4133,2.55087,-6.45788,0.332228
-14.1646,-16.3358,2.52794,-6.51575,0.335762
-14.2834,-16.2581,2.50481,-6.57335,0.339297
-14.4015,-16.1804,2.48148,-6.63067,0.342831
-14.5191,-16.1025,2.45794,-6.68772,0.346365
-14.636,-16.0245,2.4342,-6.7445,0.3499
-14.7523,-15.9464,2.41027,-6.801,0.353434
-14.868,-15.8682,2.38613,-6.85722,0.356968
-14.9831,-15.7899,2.3618,-6.91316,0.360503
-15.0975,-15.7116,2.33726,-6.96883,0.364037
-15.2114,-15.6331,2.31254,-7.02422,0.367571
-15.3247,-15.5546,2.28761,-7.07934,0.371106
-15.4375,-15.476,2.2625,-7.13417,0.37464
-15.5496,-15.3974,2.23718,-7.18873,0.378174
-15.6612,-15.3187,2.21168,-7.24301,0.381709
-15.7721,-15.2399,2.18599,-7.29701,0.385243
-15.8826,-15.1611,2.1601,-7.35074,0.388777
-15.9924,-15.0822,2.13403,-7.40418,0.392312
-16.1017,-15.0033,2.10776,-7.45735,0.395846
-16.2105,-14.9244,2.08131,-7.51024,0.39938
-16.3187,-14.8454,2.05468,-7.56285,0.402915
-16.4263,-14.7664,2.02785,-7.61517,0.406449
-16.5334,-14.6873,2.00085,-7.66722,0.409983
-16.64,-14.6082,1.97366,-7.71899,0.413518
-16.746,-14.5291,1.94628,-7.77048,0.417052
-16.8516,-14.4499,1.91873,-7.8217,0.420586
-16.9565,-14.3708,1.891,-7.87263,0.424121
-17.061,-14.2916,1.86308,-7.92328,0.427655
-17.165,-14.2124,1.83499,-7.97365,0.431189
-17.2684,-14.1331,1.80672,-8.02374,0.434724
-17.3714,-14.0539,1.77827,-8.07355,0.438258
-17.4739,-13.9746,1.74965,-8.12308,0.441792
-17.5758,-13.8954,1.72085,-8.17233,0.445327
-17.6773,-13.8161,1.69188,-8.2213,0.448861
-17.7783,-13.7368,1.66274,-8.27,0.452395
-17.8788,-13.6575,1.63342,-8.31841,0.45593
-17.9788,-13.5782,1.60394,-8.36654,0.459464
-18.0784,-13.4989,1.57428,-8.41439,0.462998
-18.1775,-13.4196,1.54446,-8.46196,0.466533
-18.2761,-13.3403,1.51447,-8.50924,0.470067
-18.3743,-13.261,1.48431,-8.55625,0.473602
-18.472,-13.1817,1.45399,-8.60298,0.477136
-18.5692,-13.1024,1.4235,-8.64943,0.48067
-18.6661,-13.0231,1.39285,-8.6956,0.484205
-18.7625,-12.9438,1.36204,-8.74149,0.487739
-18.8584,-12.8645,1.33106,-8.78709,0.491273
-18.9539,-12.7852,1.29992,-8.83242,0.494808
-19.049,-12.7059,1.26863,-8.87747,0.498342
-19.1437,-12.6267,1.23717,-8.92224,0.501876
-19.2379,-12.5474,1.20556,-8.96672,0.505411
-19.3318,-12.4681,1.17379,-9.01093,0.508945
-19.4252,-12.3889,1.14186,-9.05486,0.512479
-19.5182,-12.3096,1.10978,-9.0985,0.516014
-19.6108,-12.2304,1.07755,-9.14187,0.519548
-19.703,-12.1512,1.04516,-9.18496,0.523082
-19.7948,-12.072,1.01262,-9.22776,0.526617
-19.8863,-11.9928,0.979934,-9.27029,0.530151
-19.9773,-11.9136,0.947095,-9.31254,0.533685
-20.068,-11.8344,0.914107,-9.3545,0.53722
-20.1583,-11.7552,0.880971,-9.39619,0.540754
-20.2482,-11.6761,0.847689,-9.4376,0.544288
-20.3377,-11.5969,0.81426,-9.47872,0.547823
-20.4269,-11.5178,0.780687,-9.51957,0.551357
-20.5157,-11.4386,0.74697,-9.56014,0.554891
-20.6042,-11.3595,0.71311,-9.60043,0.558426
-20.6923,-11.2804,0.679108,-9.64044,0.56196
-20.78,-11.2013,0.644965,-9.68016,0.565494
-20.8675,-11.1222,0.610682,-9.71961,0.569029
-20.9545,-11.0432,0.576261,-9.75878,0.572563
-21.0412,-10.9641,0.541701,-9.79767,0.576097
-21.1276,-10.885,0.507004,-9.83629,0.579632
-21.2137,-10.806,0.472172,-9.87462,0.583166
-21.2994,-10.727,0.437204,-9.91267,0.5867
-21.3848,-10.648,0.402103,-9.95044,0.590235
-21.4699,-10.569,0.366868,-9.98794,0.593769
-21.5547,-10.49,0.331501,-10.0252,0.597303
-21.6391,-10.411,0.296004,-10.0621,0.600838
-21.7233,-10.332,0.260376,-10.0987,0.604372
-21.8071,-10.2531,0.224619,-10.1351,0.607906
-21.8907,-10.1741,0.188734,-10.1712,0.611441
-21.9739,-10.0952,0.152723,-10.207,0.614975
-22.0568,-10.0163,0.116584,-10.2426,0.618509
-22.1395,-9.93734,0.0803213,-10.2778,0.622044
-22.2218,-9.85843,0.0439341,-10.3128,0.625578
