x1,x2,val
-30.000000,0.000000,1.202965
-30.000000,0.333333,1.202789
-30.000000,0.666667,1.204186
-30.000000,1.000000,1.207498
-30.000000,1.333333,1.208703
-30.000000,1.666667,1.211616
-30.000000,2.000000,1.213564
-30.000000,2.333333,1.215819
-30.000000,2.666667,1.218057
-30.000000,3.000000,1.217665
-30.000000,3.333333,1.222894
-30.000000,3.666667,1.223140
-30.000000,4.000000,1.226367
-30.000000,4.333333,1.229314
-30.000000,4.666667,1.232111
-30.000000,5.000000,1.234982
-30.000000,5.333333,1.238165
-30.000000,5.666667,1.238319
-30.000000,6.000000,1.241955
-30.000000,6.333333,1.246589
-30.000000,6.666667,1.244400
-30.000000,7.000000,1.249522
-30.000000,7.333333,1.253399
-30.000000,7.666667,1.257371
-30.000000,8.000000,1.259685
-30.000000,8.333333,1.263007
-30.000000,8.666667,1.266454
-30.000000,9.000000,1.270596
-30.000000,9.333333,1.272708
-30.000000,9.666667,1.273266
-29.000000,0.000000,1.196613
-29.000000,0.333333,1.196697
-29.000000,0.666667,1.199773
-29.000000,1.000000,1.201781
-29.000000,1.333333,1.202363
-29.000000,1.666667,1.203110
-29.000000,2.000000,1.205406
-29.000000,2.333333,1.209030
-29.000000,2.666667,1.210350
-29.000000,3.000000,1.212465
-29.000000,3.333333,1.217223
-29.000000,3.666667,1.218079
-29.000000,4.000000,1.220865
-29.000000,4.333333,1.223694
-29.000000,4.666667,1.224780
-29.000000,5.000000,1.228613
-29.000000,5.333333,1.230883
-29.000000,5.666667,1.232836
-29.000000,6.000000,1.234197
-29.000000,6.333333,1.236393
-29.000000,6.666667,1.241008
-29.000000,7.000000,1.244206
-29.000000,7.333333,1.244528
-29.000000,7.666667,1.249056
-29.000000,8.000000,1.254121
-29.000000,8.333333,1.256114
-29.000000,8.666667,1.258967
-29.000000,9.000000,1.262761
-29.000000,9.333333,1.265966
-29.000000,9.666667,1.269950
-28.000000,0.000000,1.189886
-28.000000,0.333333,1.190112
-28.000000,0.666667,1.191525
-28.000000,1.000000,1.193098
-28.000000,1.333333,1.196453
-28.000000,1.666667,1.197836
-28.000000,2.000000,1.198456
-28.000000,2.333333,1.203207
-28.000000,2.666667,1.206794
-28.000000,3.000000,1.206157
-28.000000,3.333333,1.208980
-28.000000,3.666667,1.211429
-28.000000,4.000000,1.214103
-28.000000,4.333333,1.216617
-28.000000,4.666667,1.218886
-28.000000,5.000000,1.221209
-28.000000,5.333333,1.224175
-28.000000,5.666667,1.224323
-28.000000,6.000000,1.227918
-28.000000,6.333333,1.231417
-28.000000,6.666667,1.233178
-28.000000,7.000000,1.235875
-28.000000,7.333333,1.238113
-28.000000,7.666667,1.242197
-28.000000,8.000000,1.246008
-28.000000,8.333333,1.248535
-28.000000,8.666667,1.251673
-28.000000,9.000000,1.256037
-28.000000,9.333333,1.259887
-28.000000,9.666667,1.262928
-27.000000,0.000000,1.182829
-27.000000,0.333333,1.183453
-27.000000,0.666667,1.184569
-27.000000,1.000000,1.186446
-27.000000,1.333333,1.188858
-27.000000,1.666667,1.188375
-27.000000,2.000000,1.194326
-27.000000,2.333333,1.194447
-27.000000,2.666667,1.197000
-27.000000,3.000000,1.198944
-27.000000,3.333333,1.202442
-27.000000,3.666667,1.204162
-27.000000,4.000000,1.206938
-27.000000,4.333333,1.209155
-27.000000,4.666667,1.211549
-27.000000,5.000000,1.213749
-27.000000,5.333333,1.216690
-27.000000,5.666667,1.218809
-27.000000,6.000000,1.220246
-27.000000,6.333333,1.223955
-27.000000,6.666667,1.226513
-27.000000,7.000000,1.228977
-27.000000,7.333333,1.231906
-27.000000,7.666667,1.235259
-27.000000,8.000000,1.238626
-27.000000,8.333333,1.241458
-27.000000,8.666667,1.245101
-27.000000,9.000000,1.247830
-27.000000,9.333333,1.251835
-27.000000,9.666667,1.253450
-26.000000,0.000000,1.175370
-26.000000,0.333333,1.175334
-26.000000,0.666667,1.175409
-26.000000,1.000000,1.179476
-26.000000,1.333333,1.181261
-26.000000,1.666667,1.182881
-26.000000,2.000000,1.183720
-26.000000,2.333333,1.190212
-26.000000,2.666667,1.190101
-26.000000,3.000000,1.192093
-26.000000,3.333333,1.196007
-26.000000,3.666667,1.195787
-26.000000,4.000000,1.197794
-26.000000,4.333333,1.200241
-26.000000,4.666667,1.202620
-26.000000,5.000000,1.205233
-26.000000,5.333333,1.207676
-26.000000,5.666667,1.210045
-26.000000,6.000000,1.213531
-26.000000,6.333333,1.215268
-26.000000,6.666667,1.218298
-26.000000,7.000000,1.220605
-26.000000,7.333333,1.224619
-26.000000,7.666667,1.227542
-26.000000,8.000000,1.230608
-26.000000,8.333333,1.233848
-26.000000,8.666667,1.232519
-26.000000,9.000000,1.237648
-26.000000,9.333333,1.240944
-26.000000,9.666667,1.241893
-25.000000,0.000000,1.167407
-25.000000,0.333333,1.167778
-25.000000,0.666667,1.168154
-25.000000,1.000000,1.171915
-25.000000,1.333333,1.173759
-25.000000,1.666667,1.174380
-25.000000,2.000000,1.176574
-25.000000,2.333333,1.177466
-25.000000,2.666667,1.181728
-25.000000,3.000000,1.181078
-25.000000,3.333333,1.185817
-25.000000,3.666667,1.187789
-25.000000,4.000000,1.190168
-25.000000,4.333333,1.192396
-25.000000,4.666667,1.195584
-25.000000,5.000000,1.197341
-25.000000,5.333333,1.198926
-25.000000,5.666667,1.200901
-25.000000,6.000000,1.205404
-25.000000,6.333333,1.205961
-25.000000,6.666667,1.209694
-25.000000,7.000000,1.211839
-25.000000,7.333333,1.217884
-25.000000,7.666667,1.221134
-25.000000,8.000000,1.219172
-25.000000,8.333333,1.223362
-25.000000,8.666667,1.224769
-25.000000,9.000000,1.227173
-25.000000,9.333333,1.231375
-25.000000,9.666667,1.231700
-24.000000,0.000000,1.159017
-24.000000,0.333333,1.159249
-24.000000,0.666667,1.159984
-24.000000,1.000000,1.161882
-24.000000,1.333333,1.163209
-24.000000,1.666667,1.166107
-24.000000,2.000000,1.168550
-24.000000,2.333333,1.170954
-24.000000,2.666667,1.171286
-24.000000,3.000000,1.173863
-24.000000,3.333333,1.177924
-24.000000,3.666667,1.178276
-24.000000,4.000000,1.179759
-24.000000,4.333333,1.182981
-24.000000,4.666667,1.184935
-24.000000,5.000000,1.187448
-24.000000,5.333333,1.189991
-24.000000,5.666667,1.193049
-24.000000,6.000000,1.197369
-24.000000,6.333333,1.198350
-24.000000,6.666667,1.201411
-24.000000,7.000000,1.204283
-24.000000,7.333333,1.206325
-24.000000,7.666667,1.206913
-24.000000,8.000000,1.209531
-24.000000,8.333333,1.212449
-24.000000,8.666667,1.213243
-24.000000,9.000000,1.215186
-24.000000,9.333333,1.217053
-24.000000,9.666667,1.220677
-23.000000,0.000000,1.150099
-23.000000,0.333333,1.149425
-23.000000,0.666667,1.151382
-23.000000,1.000000,1.152812
-23.000000,1.333333,1.154764
-23.000000,1.666667,1.156210
-23.000000,2.000000,1.159156
-23.000000,2.333333,1.160043
-23.000000,2.666667,1.164410
-23.000000,3.000000,1.164525
-23.000000,3.333333,1.165481
-23.000000,3.666667,1.168905
-23.000000,4.000000,1.170755
-23.000000,4.333333,1.172086
-23.000000,4.666667,1.176342
-23.000000,5.000000,1.177258
-23.000000,5.333333,1.179946
-23.000000,5.666667,1.183250
-23.000000,6.000000,1.184306
-23.000000,6.333333,1.188631
-23.000000,6.666667,1.190783
-23.000000,7.000000,1.192278
-23.000000,7.333333,1.195657
-23.000000,7.666667,1.195663
-23.000000,8.000000,1.199585
-23.000000,8.333333,1.201142
-23.000000,8.666667,1.200539
-23.000000,9.000000,1.202442
-23.000000,9.333333,1.205618
-23.000000,9.666667,1.208320
-22.000000,0.000000,1.140486
-22.000000,0.333333,1.138229
-22.000000,0.666667,1.140642
-22.000000,1.000000,1.143491
-22.000000,1.333333,1.145611
-22.000000,1.666667,1.147406
-22.000000,2.000000,1.148539
-22.000000,2.333333,1.149546
-22.000000,2.666667,1.152344
-22.000000,3.000000,1.154659
-22.000000,3.333333,1.157872
-22.000000,3.666667,1.159310
-22.000000,4.000000,1.162371
-22.000000,4.333333,1.162387
