t,p1,p2,y,x,v
0.01,30,-29.7,8.7015,1.0885,0.010445
0.059904,30,-28.2029,7.25671,1.48638,0.0749935
0.109808,30,-26.7058,5.88663,1.81403,0.15763
0.159712,30,-25.2086,4.59126,2.07516,0.254942
0.209616,30,-23.7115,3.3706,2.27351,0.363703
0.25952,30,-22.2144,2.22466,2.41282,0.480874
0.309424,30,-20.7173,1.15342,2.49679,0.603601
0.359328,30,-19.2202,0.156905,2.52918,0.729216
0.409232,30,-17.723,-0.764902,2.5137,0.855237
0.459136,30,-16.2259,-1.612,2.45408,0.979369
0.50904,30,-14.7288,-2.38438,2.35405,1.0995
0.558944,30,-13.2317,-3.08205,2.21734,1.21371
0.608848,30,-11.7345,-3.70501,2.04768,1.32026
0.658752,30,-10.2374,-4.25325,1.84879,1.4176
0.708656,30,-8.74031,-4.72678,1.62441,1.50436
0.75856,30,-7.24319,-5.1256,1.37827,1.57937
0.808464,30,-5.74607,-5.44971,1.11408,1.64162
0.858368,30,-4.24895,-5.69911,0.835584,1.69032
0.908273,30,-2.75182,-5.87379,0.546506,1.72485
0.958177,30,-1.2547,-5.97376,0.250575,1.74476
1,30,-2.79397e-08,-6,2.79397e-08,1.75
