t,p1,p2,y,x,z
0,14.7801,6.00098,1,0,0
0.01,14.6323,5.85392,1.05927,0.0102976,5.0994e-05
0.0536718,13.9868,5.22899,1.30118,0.0619395,0.00158991
0.100416,13.2959,4.59134,1.53067,0.128241,0.005993
0.154354,12.4987,3.89568,1.76001,0.217153,0.0152524
0.201668,11.7994,3.32087,1.93235,0.304603,0.0275633
0.246409,11.1381,2.80774,2.07282,0.394277,0.0431742
0.291207,10.476,2.3236,2.19366,0.489914,0.0629592
0.334417,9.83736,1.88474,2.29318,0.586909,0.0862083
0.376633,9.2134,1.48261,2.37548,0.685505,0.113054
0.418232,8.59856,1.11213,2.44274,0.785769,0.143646
0.459453,7.98931,0.770246,2.49571,0.887601,0.178128
0.500448,7.38341,0.455147,2.53387,0.990746,0.216624
0.541287,6.7798,0.16594,2.55555,1.09473,0.259205
0.581943,6.1789,-0.0974863,2.5579,1.19875,0.305827
0.622264,5.58295,-0.334612,2.53725,1.30155,0.356237
0.661978,4.99599,-0.544675,2.48955,1.40147,0.409917
0.700766,4.42269,-0.727343,2.4111,1.49662,0.466133
0.738381,3.86674,-0.883246,2.29897,1.58533,0.52411
0.774708,3.32983,-1.01396,2.15099,1.66628,0.583187
0.809749,2.81192,-1.12157,1.96557,1.73854,0.64286
0.843574,2.31198,-1.20823,1.74154,1.80137,0.70275
0.87628,1.82859,-1.27593,1.47819,1.85415,0.762551
0.907966,1.36027,-1.32646,1.17523,1.89632,0.821996
0.938727,0.905622,-1.36131,0.832859,1.92733,0.880832
0.968647,0.463406,-1.38179,0.451834,1.94667,0.938815
0.997799,0.0325244,-1.38902,0.0334891,1.95386,0.9957
1,1.12296e-12,-1.38905,2.83102e-13,1.95389,1
